,label,41_3.21,93_4.48,77_4.55,91_4.76,136_5.44,93_5.5,57_5.56,57_5.7,93_5.77,59_5.89,67_6.17,93_6.32,119_6.71,109_6.76,68_6.83,93_7.06,93_7.38,105_18.73,119_19.76,81_20.11,161_20.32,93_21.54,161_23.95,119_24.92
F01AB_1,F01,254.3075444,1889884.207,381858.4031,83572.82081,267910.8466,605232.7208,3491387.855,48219.68465,102437.3483,427075.9843,45268.00499,59575.92953,832971.5077,82734.1676,189675.1837,309013.6348,796027.7109,41666.54266,76449.53859,153999.9783,58894.99562,736140.5372,160594.6302,42968.1921
F01AB_2,F01,1028.462596,1355268.34,384651.7011,61687.23913,243192.6271,500271.1808,1540849.494,41396.18303,41426.06168,378036.0448,127696.6183,1.061978031,702198.1333,95843.55347,113280.0681,279869.0709,819998.6441,17221.07683,68374.47642,105591.8113,51267.62744,467112.8869,168985.826,8145.132723
F01AC_1,F01,6330.288882,2122050.243,360660.7444,56068.28045,334631.8237,732469.0729,1679538.398,41572.2333,1.106719354,324886.0843,258053.8122,33829.86415,466345.3406,75394.37065,157355.0793,300716.0531,852007.0684,20147.57319,73351.83018,113391.9205,78271.33846,575221.2853,211552.2175,73342.28122
F01AC_2,F01,13405.71953,1193656.507,271781.782,52803.83346,206958.7045,432312.0345,4766049.198,45677.43889,39803.48006,703464.8048,28144.73983,255253.717,435716.0929,126795.4797,217473.7536,236335.3448,858257.2316,25246.73824,77924.77437,118168.6689,86258.23401,809786.5111,234185.3314,79776.76889
F01AN_1,F01,5991.11214,2208529.136,513086.862,31160.18177,319381.4382,685857.857,2836179.81,48875.31541,90806.88625,397315.8073,307313.5508,627784.8411,676994.471,51058.53841,202641.076,304529.5101,1192202.203,53423.57231,93172.86343,113473.3117,96177.61557,852076.8266,289740.5106,41003.60855
F01AN_2,F01,5798.734455,1993067.516,368982.7132,38596.67493,344386.0448,683136.7416,1705376.952,44545.0258,20829.87021,678734.5293,287754.1673,24432.65992,443506.291,51779.99971,166613.5758,303543.9561,1171533.279,20411.7787,80584.94761,100128.6375,113740.3614,602925.5417,271309.4939,48258.76489
F01AU_1,F01,5187.386541,673762.876,151857.5013,39031.95834,122182.4711,244798.3211,3221987.384,38851.71268,117895.6842,667370.7251,71010.43305,99413.45104,174315.4149,43013.05301,86601.51635,68162.60972,63417.97788,9104.020098,24178.68848,33561.53307,21101.68323,266234.749,102489.5637,11325.72916
F01AU_2,F01,3793.372141,1265693.212,315363.5299,45550.73794,219787.0146,454163.6699,2624672.088,50313.39626,62328.24072,345982.8589,98028.72869,485181.4925,682472.4018,71101.67347,173719.8087,190228.963,581532.7614,14480.06327,59855.72225,88504.86141,56617.16495,576027.986,170490.6068,34081.54841
F01MB_1,F01,6588.160483,2271466.623,471118.5779,64033.06632,364550.1296,743904.2682,1460969.791,45133.2822,26636.23092,449285.819,185611.4135,1.064637215,609718.6742,90154.98888,188288.3996,388121.1779,920780.7057,59323.79052,128226.445,205192.0331,127470.866,647807.3104,276630.7839,105756.5186
F01MB_2,F01,1192.972834,2039047.583,481312.2886,69533.6212,329138.4034,686344.6884,2281360.1,40030.28531,36055.74762,506043.5013,313107.5839,599118.5617,451366.7725,82045.33387,194586.7104,354285.1541,1122913.279,56458.38663,91532.312,169773.4116,93535.38916,884787.0978,275250.696,88165.73587
F01MC_1,F01,9550.229711,1097006.676,269635.3031,48255.53191,151446.1924,358610.9244,2495063.363,35617.50801,184834.3584,657743.307,66528.62808,269668.8543,350060.8837,55331.80721,116963.8058,112697.494,159838.9488,18059.29519,51374.61155,65062.67848,70985.46109,661555.5022,217185.9158,37162.61288
F01MC_2,F01,7012.323405,2019579.456,438673.4635,55806.26609,314871.5654,684213.1473,2369374.461,42941.64871,18185.72339,367055.6805,278877.3428,46775.53029,683850.9651,65082.33463,187768.3529,266819.3835,1042007.162,48966.61536,88771.71876,113055.2692,96720.42027,1059114.204,290293.9171,39833.75888
F01MN_1,F01,8003.636186,2075448.321,524698.5408,42483.7609,342938.399,730629.5934,2759903.704,47128.7659,33024.93108,335917.7623,319682.3167,658500.7495,802656.199,44875.24018,219897.2379,254357.7299,1035368.407,28719.50564,64939.65492,73301.55268,74314.98541,710206.9681,216597.2095,38040.19832
F01MN_2,F01,6253.489699,1700340.43,440435.188,38458.57421,261830.9502,569521.5437,1541594.121,42644.79295,35535.20242,621482.4252,152173.3658,1.055298934,851424.1107,44388.41681,225087.4388,216674.2035,744877.3279,28444.88318,64409.5471,76331.60651,78812.69293,641913.9387,184275.9671,37815.69943
F01MU_1,F01,1688.138826,1285324.214,294644.7702,49485.92977,215550.4016,412595.0889,3052717.663,47034.99144,25667.58628,353727.4991,21695.14801,452222.63,674022.1488,73423.61899,123178.4631,286287.9641,872303.589,27630.62053,89301.101,8604.424977,86339.94241,988656.1184,280263.2933,80310.43892
F01MU_2,F01,2457.745417,1607697.536,365409.8962,55312.69106,267935.5924,488657.7171,2628724.347,51009.21317,28943.82281,775676.0388,93239.34547,575308.331,964904.6994,61475.27153,204542.9925,288910.7168,792914.669,52769.77895,72235.55018,14278.66412,68241.43656,675797.5807,210749.2324,42077.26296
F02AB_1,F02,5906.009225,1927851.678,411567.2453,96636.8127,269848.1712,620563.8072,3537095.915,51435.26055,339172.5025,571182.8867,55620.71931,226750.6341,561855.0765,92253.33712,144741.505,335404.6702,343158.349,56523.08993,101852.0778,214407.4342,67404.58232,821763.5407,152810.8049,76456.03458
F02AB_2,F02,7681.121755,1542266.856,366327.9286,64646.07907,245414.9703,505230.824,2788377.158,38118.67943,260353.3053,736545.748,50373.17775,200991.4572,453441.0845,72032.41771,172548.7764,234128.4023,457755.6559,41005.54729,78392.0949,136395.5211,53964.11926,628395.3511,145775.8769,57287.82873
F02AC_1,F02,16172.92582,832322.1072,212291.3444,50755.47707,123163.1552,255565.5196,3428205.113,27130.50639,96085.31314,916204.3696,71950.45592,82675.1212,124033.9128,58661.67683,90930.33756,108825.1333,129388.5968,16948.05656,61735.72357,101355.98,72371.15799,728920.0501,209109.3635,65653.17085
F02AC_2,F02,31486.97275,2016860.307,513565.9686,81213.76764,313566.736,624702.7575,1688042.636,39739.98,338158.6096,721915.3277,229927.3413,190663.6139,334077.1161,75482.57014,132304.6675,324471.424,913662.1995,58281.59451,98130.0883,172259.1859,104054.1121,623637.7532,271327.4934,84984.07259
F02AN_1,F02,51109.42575,1863785.097,452661.2718,29485.55817,293722.4039,611200.9139,2686621.211,37780.39294,288179.1566,979031.3863,197822.9844,113233.4307,229352.1996,41675.919,181157.2436,247297.3109,801657.1254,14377.43271,67224.61856,89255.94508,80401.48139,585055.6403,220296.07,54493.9242
F02AN_2,F02,42821.80077,1902240.732,440703.2599,40419.23769,246486.1445,590989.1894,3710010.827,35145.92211,276693.0316,501067.1057,180386.106,106866.297,237075.168,33226.95611,128573.3502,211184.8342,504378.8163,60313.46735,98313.80306,140450.0742,102353.3547,836585.5135,313246.9549,80424.97843
F02AU_1,F02,15397.78378,996825.8979,236622.544,53359.31462,187314.9001,372984.4568,2957747.563,33380.40572,32898.2494,990308.2535,154761.8861,138996.3576,599871.0404,75345.47873,149222.5381,192995.9874,137313.7998,17059.63125,60000.99064,133356.1445,49779.72546,511144.9586,151329.8257,37026.49114
F02AU_2,F02,23267.1514,1406725.768,364714.2716,48824.29229,215220.7827,454803.6915,2364587.685,37713.2415,229753.36,833935.3506,107160.7268,129172.1924,335773.5594,69399.66902,145613.7114,224274.808,149479.0192,22674.55674,82873.54328,150531.138,57257.28962,627352.1328,159391.6189,46410.67906
